question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"what is angie estes's profession 
",poet,screenwriter,screenwriter,singer,screenwriter,singer,screenwriter,singer,screenwriter,singer,actor,singer,screenwriter,actor,singer,actor,screenwriter,singer,actor,screenwriter,singer,actor,singer,screenwriter,actor,singer,actor,screenwriter,singer,actor,screenwriter,singer,actor,singer,actor,singer,actor,singer,actor,actress,singer,writer,actor,actress,singer,writer,actor,singer,screen writer,screen writer,screen writer,False
"what position does josé francisco torres play?
",midfielder,midfielder,midfielder,midfielder,midfielder,midfielder,midfielder,midfielder,goalkeeper,defender,midfielder,goalkeeper,defender,midfielder,goalkeeper,defender,midfielder,goalkeeper,defender,forward,forward,goalkeeper,midfielder,defender,forward,goalkeeper,midfielder,defender,forward,goalkeeper,defender,forward,midfielder,forward,goalkeeper,defender,midfielder,forward,goalkeeper,forward,midfielder,forward,midfielder,forward,forward,midfielder,midfielder,midfielder,midfielder,winger,defender.,False
"who was also born in jakarta
",Dwi Putrantiwi,Ayudhya,Yeni Yeni,Susilo Bambang,Ismail Idris,Ayudhoya,Ayudhya,Yeni Idris,Yeni Ismaili,Susilo Bambang,Yeni Ismail,Yeni Yeni,Ismail Ismail,Yeni Ismaili,J. S. Susilo,Yeni Ismail,Ismail Ismaili,Susilo Bamban,Yeni Ismaili,Susilo,Prithvi Raja,Yeni Ismail,Ayuti,J. S. Susilo,Susilo Bamban,J. S. Bhatia,Yeni Ismaili,Ismail Alam,Yeni Ismail,Susilo,Udayasan,Jogja Bambang,Prithviraj,Ayuta,Udayana,Josip Agung,Udayan,Prithviraj,Josip Ayu,Yeni,Jatiya,Yeni,Josipa,Yeni,J. S. Bhatt,Udayana Sukses,Jogja Bamban,Josipa,Josipa S.,Jatiyo,Yeni,False
"where was guy pnini born
",Tel Aviv,New York City,New York City,New York City,New York City,New York City,New York City,New York City,Skopje,Los Angeles,New York City,Skopje,Los Angeles,New York City,Skopje,San Francisco,Los Angeles,New York City,Skopje,San Francisco,Los Angeles,New York City,Skopje,San Francisco,Los Angeles,New York City,San Francisco,Los Angeles,San Francisco,New York City,San Francisco,San Francisco,Milan,Milan,Milan,Rome,Milan,Rome,Milan,Rome,Milan,New Jersey,San Diego,Milano,San Diego,Milano,Milano,Milano,New York Harbor,Los Angeles County,Los Angeles County,False
"what is an album recorded by scott grimes
",Livin' on the Run,The Best of Scott Grimes,The Best of Scott Grimes,The Best of Scott Grimes,The Best of Scott Grimes,The Greatest Hits,The Best of Scott Grimes,The Greatest Hits,The Best of Scott Grimes,The Greatest Hits,The Best of Scott Grimes,The Greatest Hits,The Best of Scott Grimes,The Best of Scott Grimes,The Greatest Hits,The Best of the Best,Ain't That Cool?,The Best of the Best,Sing & Sing!,The Greatest Hits,The Greatest Hits Volume II,Rhythm & Blues,The Best of Scott Grimes,Sing & Sing,I'll Be There,Strictly Scott,The Best of the Best,I'm a Survivor,I'll Be There,Strictly Scott,The Greatest Hits,The Greatest Hits Volume II,I'm a Boy,Ain't No Time,The Best of the Best,Ain't No Fun,I'll Be There,I'm a Survivor,Strictly Scott,I'm a Man,Ain't No Time,A Little Night Music,I'll Be There,I'm a Survivor,I'm a Boy,Rhythm and Blues,I'm a Survivor,I'm a Man,The Best of the Best,Sing a Song,Rhythm and Blues,False
"what was the country of origin of the tv show sidewalks entertainment
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,Canada,United States Of America,Japan,Canada,United States of America,False
"who was the architect of the structure tour perret
",Auguste Perret,Louis Perret,Richard Perret,Georges Perret,Georges Perret,Louis Perret,Richard Perret,Perret,Georges Perret,Perret,Louis Perret,Richard Mendelsohn,Paul Perret,Perret,Georges Perret,Louis XIV,Richard Mendelsohn,Jacques Perret,Richard Perret,Georges Perrét,Georges Perret,Paul Perret,Louis XIV,Richard Mendelsohn,Richard Perrett,Georges Perrét,Louis XIV,Louis Perret,Georges Perret,Claude Monet,Louis XIV,Richard Perrett,Georges Perrét,Louis Perret,Louis XIV,Georges Perrét,Louis XIV,Louis Perret,Richard Mendelson,Georges Perrette,Georges Perrét,Louis XVII,Richard Mendelson,Richard Perrett,Paul Perrett,Louis XVII,Richard Mendelson,Louis Sullivan,Paul Perrett,Louis XVII,Charles Perret,False
"What is an album by guy clark?
",Workbench Songs,The Best of Guy Clark,The Greatest Hits,The Best of the Best,The Best of Guy Clark,The Best of the Best,The Best of Guy Clark,The Greatest Hits,The Best of the Best,The Best of Guy Clark,The Greatest Hits,The Best of the Best,Rhythm & Blues,Singing in the Rain,The Best of the Best,Strictly Country,The Greatest Hits,The Best of Guy Clark,The Best of the Best,I'm a Man,I'll Be There,I'm a Man,Ain't No Time,Rhythm and Blues,I'll Be There,The Best of Guy Clark,A Little Night Music,I'm a Man,Ain't No Fun,Ain't No Time,The Best of the Best,Singing in the Dark,I'll Be There,Rhythm and Blues,I'm a Man,A Little Night Music,I'll Be There,Rhythm and Blues,I'm a Man,The Best of the Greatest,A Little Night Music,I'll Be There,Ain't Nothing,I'm a Man,I'll Be There,A Little More of the Same,In the Dark,A Little More of Me,A Little More of the Truth,In the Dark,In The Dark,False
"what's the name of an Australian rock and roll
",Brian Cadd,The X-Files,The X-Files,The X-Files,Xanadu,The X-Files,Affliction,Xanadu,The X-Files,The X Factor,X-Files,Xanadu,Affliction,The X Factor,A-Frame,Ainsworth,X-Files,The X Factor,A-Frame,Ainsworth Brothers,The X Factor,Angus and Julia,The X Factor,Ainslie,The X Factors,Snails,Snail Mail,Ayrshire,The Black Cats,Ayrshires,Afflictions,Snail,A-Flames,Snailfish,The X Factors,Yarra Valley,Snails,Snail Mail,A-Flames,Snail,Yarra Valley Band,Yarra River,The X Factors,Snailfish,Yarra River Band,Sally's Band,Yarra Valley,Avalon,Afflecks,The X Factors,Yarra Valley,False
"what is the category of the celestial object 1241 dysona
",asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,asteroid,star,asteroid,star,star,asteroid,star,asteroid,star,star,asteroid,star,asteroid,star,star,asteroid,star,asteroid,star,star,asteroid,star,asteroid belt,asteroid,star,asteroid belt,star,asteroid,star,asteroid belt,asteroid,star,asteroid belt,star,asteroid,star,asteroid belt,asteroid,star,False
"What is a type of gameplay available to gamers playing custom robo v2
",multiplayer video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,multiplayer video game,single-player video game,multiplayer video game,single-player video game,single-player videogame,multiplayer video game,single-player video game,multiplayer video game,single-player videogame,False
"What's an example of a romance film
",Ain't Them Bodies Saints,I'll See You Again,Into the Woods,I'll Be There,Into the Woods,Into the Wilderness,I'll Be There,Into the Woods,Into the Wilderness,A Little Night Music,I'm a Girl,I'll Be There,Into the Woods,A Little Night Music,I'll Be There,Into the Woods,The Secret of the Sea,A Little Night Music,The Secret of the Sea,Into the Wild,A Little Night Music,Love Is Love,The Secret of the Sea,Into the Wild,A Little Night Music,Love Is Love,The Secret of the Sea,Into the Wild,The Secret Life of the Heart,A Little Night Music,Love Is Love,Into the Wild,The Secret of the Sea,A Little Love at Last,A Little Love in the Dark,The Secret Life of the Heart,The Secret of the Black Pearl,A Little Love in the Night,The Secret of the Sea,The Secret of the Red Sea,The Secret Life of the Heart,Love and War,A Little Love at Last,The Wedding Planner,The Wedding Party,Love and War,The Secret Life of the Heart,The Secret Life of the Heart,A Little Love in Time,A Little Love,The Secret of the Sea,False
"where was shigeyasu suzuki's place of birth
",Ishikawa Prefecture,Nagoya,Shizuoka,Nagoya,Tokyo,Osaka,Nagoya,Tokyo,Osaka,Tokyo,Nagoya,Tokyo,Osaka,Tokyo,Nagoya,Osaka,Tokyo,Kobe,Tokyo,Osaka,Kobe,Tokyo,Osaka,Tokyo,Kobe,Nagano,Tokyo Prefecture,Tokyo,Osaka,Kobe,Kyoto Prefecture,Tokyo,Nagano,Osaka,Kobe,Tokyo,Kodai,Nagano,Tokyo,Tokyo Prefecture,Kyoto Prefecture,Tokyo,Nagano,Kyoto,Tokyo,Shibuya,Kyoto,Nagano,Tokyo,Kyoto,Kyoto Prefecture,False
"which nationality is yonatan rozen
",Israel,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,Turkey,United Kingdom,Turkey,Russia,Turkey,United Kingdom,Russia,Turkey,United Kingdom,Russia,Turkey,United Kingdom,Russia,Turkey,Hungary,Russia,Turkey,United Kingdom,Hungary,Russia,Turkey,United Kingdom,Hungary,Russia,Turkey,Hungary,United Kingdom,Russia,Turkey,Hungary,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,"Russia,","Russia,","Russia,",Hungary.,False
"which indian city was fazil born in
",Alappuzha,Mumbai,Mumbai,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Hyderabad,Mumbai,Delhi,Hyderabad,Mumbai,Delhi,Hyderabad,Mumbai,Kolkata,Delhi,Hyderabad,Mumbai,Kolkata,Delhi,Hyderabad,Mumbai,Kolkata,Delhi,Hyderabad,Mumbai,Kolkata,Hyderabad City,Hyderabad City,Mumbai City,Hyderabad City,Hyderabad City,Mumbai City,False
"what gender is daniela cristofori 
",female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,False
"in which country was overnight delivery filmed in
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,Canada,United States of America,United Kingdom,Australia,France,Canada,Australia,United Kingdom,False
"Which film was directed by ian iqbal rashid
",Touch of Pink,Ishq,Ayub Khan,Ishq,Ishaq,Ishq,Ayub Khan,Aashiqui 2,Iqbal,Ishq,Ayaan,Ishaq,Iqbal,Ayeela,Ishq,Ayeel,Ayub Khan,Yash Raja,Ishqi,The Man Who Knew,Aashiq,Aashiqui 2,Iqbal,Ayub,Yash Raja,Ishqi,The Man Who Knew,Aashiqui 2,Ayaan,Laila,Aashiq,Aamir,Lailah,The Last Man Standing,Ayub,Aamir,Aashiq,Aamiri,The Man Who Knew,Aamir,Aashiq,Ayaana,Aamiri,Yash Raj,Aamir,Yash Raj,The Assassin,Aamiri,Yash Raj,Aaj Tak,Yash Raj,False
"in what county is monango found
",Dickey County,Monongalia County,Monongalia County,United States of America,Monango County,Monongalia County,United States of America,Monango County,Monongalia County,Monango County,Monongalia County,Monango County,Monongalia County,Monango County,Monongalia County,Monango County,Monongalia County,Monango County,Monongalia County,Orange County,Mercer County,Monango County,Orange County,Monongalia County,Monango County,Monroe County,Orange County,Ogden County,Monango County,Monroe County,Orange County,Monongalia County,Monango County,Monroe County,Orange County,Monongalia County,Monango County,Monango County,San Bernardino,Monongalia Parish,Monongalia county,Monongalia Parish,Monongalia county,Monongalia Parish,Monongalia county,Monongalia Parish,"Orange County, Texas","Orange County, California",Monongalia county,"Orange County, Texas","Orange County, California",False
"who recorded rca records
",Alizée,John Lennon,John Lennon,John Lennon,Sonny Rollins,John Lennon,Yoko Ono,John Lennon,David Bowie,John Lennon,David Bowie,David Bowie,John Lennon,David Bowie,John Lennon,Bob Marley,John Mayer,Sonny Boy Williamson,John Lennon,John Mayer,John Lennon,Sonny and Cher,John Mayer,David Guetta,John Mayer,Sonny Boy Williams,Bob Dylan,John Mayer,Sonny Boy Williams,Bob Dylan,RCA Records,RCA Records Inc.,John Mayer,Bob Dylan,Freddie Mercury,George Harrison,John Mayer,Michael Jackson,Freddie Mercury,John Prine,George Harrison,John Mayer,Michael Jackson,Freddie Mercury,George Harrison,John Mayer,Freddie Mercury,John Mayer,Freddie Mercury,Robert Johnson,Robert Plant,False
"who is the artist of breathing your love?
",Kat DeLuna,John Lennon,John Lennon,Yoko Ono,John Lennon,Snoop Dogg,Yoko Ono,David Bowie,Yoko Ono,David Bowie,The Black Crowes,Yoko Ono,David Bowie,The Black Crowes,David Bowie,Yoko Ono,David Bowie,David Guetta,Yoko Ono,David Guetta,John Mayer,Michael Bublé,David Guetta,John Mayer,Michael Bublé,David Guetta,Sly Stone,The Black Keys,John Mayer,Def Jam,David Guetta,John Mayer,Axl Rose,Def Jam,Def Jam Records,J. Cole,John Mayer,Axl Rose,Def Jam,J. Cole,Def Jam Records,Axwell,Michael Buble,Def Jam,Michael Jackson,Axwell,Def Jam Records,Michael Buble,Michael Jackson,Def Jam Records,Axl,False
"What is a gampelay mode found in the game allegiance
",multiplayer video game,single-player video game,single-player video game,single-player video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,single-player video game,multiplayer video game,single-player videogame,multiplayer video game,single-player video game,single-player videogame,multiplayer video game,False
"What type of film is raghuvinte swantham raziya
",drama film,drama film,drama film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romance film,romantic comedy,romantic comedy,drama film,romance film,romantic comedy,drama film,romance film,romantic comedy,romantic comedy,drama film,romance film,romantic comedy,drama film,romance film,romantic comedy,romantic comedy,drama film,romance film,drama film,romance film,drama film,drama film,romance film,drama film,romance film,drama film,drama film,romance film,drama film,romance film,drama film,drama film,romance film,drama film,drama film,romance film,drama film,silent film,romance film,drama film,False
"Which films has leonid gaidai written
",The Diamond Arm,The Man Who Knew Too Much,The Man Who Knew Too Much,Ivan the Terrible,The Night of the Living Dead,Yuri Gagarin,Ivan the Terrible,The Man Who Knew Too Much,The Count of Monte Cristo,Yuri Gagarin,Ivan the Terrible,The Night of the Living Dead,The Count of Monte Carlo,Yuri Gagarin,The Man in the Iron Mask,Ivan the Terrible,Iranian Nights,The Night of the Living Dead,The Man in the Iron Mask,The Last Man on Earth,Assassination of a Nation,The Man Who Couldn't,Iranian Nights,The Man Who Knew Everything,The Secret of the Sea,Iranian Nights,The Last Man on Earth,The Girl Next Door,The Secret of the Sea,Yuri Gagarin',Iranian Nights,Assassination of a Child,Ishtar,Ishtya,Slave to Death,The Man Who Caught Me,The Secret of the Sea,Ishtar,The Secret of the City,A Little Night Music,The Night of the Hunter,The Man Who Caught the Man,The Secret of Life,The Man Who Caught the Cat,The Secret of the Sea,Assassination of the World,Slave 2,Ishtara,The Last Man on Earth,Slave to the Death,The Sword of Life,False
"What is an organization that j. a. folger founded?
",Folgers,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States Department of Agriculture,Associated Press,United States of America,United States Department of Agriculture,Associated Press,The Folger Company,Yokohama,Associated Press,The New York Times Company,The Associated Press,United States Department of Agriculture,YMCA of America,Yokohama,Yokohama Corporation,Associated Press,The Folger Company,United States of America Corporation,The Associated Press,Applied Physics Laboratory,The New York Times,Yokohama Corporation,The Folger Co.,United States of America Corporation,Associated Press,United States Department of Commerce,Applied Physics Laboratory,The Folger Co.,United States of America Corporation,Yokohama,United States Department of Commerce,Applied Physics Labs,Associated Press,Applied Physics Laboratory,United Nations,YMCA,United States Navy,United States of America Corporation,Applied Physics Lab,United Nations,Applied Physics Labs,YMCA International,Associated Press,False
"What is shinji mori's gender?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"what style of msuic did john pizzarelli play 
",jazz,msuic,rhythm and blues,msuic,rhythm and blues,msuic,rhythm and blues,msuic,jazz,rhythm and blues,msuic,jazz,rhythm and blues,jazz,msuic,jazz,msuic,jazz,rock music,hardcore punk,jazz,rock music,msuic,jazz,rockabilly,rock music,jazz,msuic,jazz,rock music,rockabilly,slasher film,hard rock,msuic,jazz,rock music,rockabilly,jazz,rock music,jazz,jazz,rock music,jazz,jazz,slapstick,jazz,jazz,jazz,jazz,jazz,slapstick,False
"what is trond egil soltvedt's birth place 
",Voss,Stockholm,Budapest,Stockholm,Sofia,Budapest,Stockholm,Sofia,Budapest,Stockholm,Sofia,Budapest,Stockholm,Sofia,Budapest,Oslo,Stockholm,Sofia,Budapest,Oslo,Stockholm,Sofia,Budapest,Oslo,Stockholm,Sofia,Budapest,Oslo,Stockholm,Sofia,Budapest,Oslo,Stockholm,Sofia,Budapest,Oslo,Stockholm,Lund,Lund,Stockholm City,Stockholm City,Stockholm City,Stockholm Airport,Stockholm City,Oslo City,Stockholm Airport,Oslo City,Stockholm City,Sofia Airport,Oslo City,Sofia Airport,False
"what series is super mario bros. 2 a part of
",Super Mario,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario Bros.,Super Mario World,Mario Bros.,Super Mario World,Super Mario Bros.,Mario Bros.,Super Mario,Super Mario World,Super Mario Bros.,Xenoverse,Super Mario,Mario Bros.,Super Mario Brothers,Super Mario Bros.,Super Mario,Mario Bros.,Super Mario World,Super Mario Bros.,Super Mario,Mario Bros.,Super Mario,Super Mario Bros.,Super Mario Brothers,Mario Bros.,Super Mario,Super Mario Bros.,Mario Bros.,Super Mario,Super Mario Bros.,Super Mario,Mario Bros.,Super Mario Brothers series,SMB series,Mario Bros. series,Super Mario,Mario Bros.,Mario Bros. series,Super Mario Bros.,Super Mario,Super Mario Bros,False
"what disease did anthony perkins die of
",HIV/AIDS,pancreatic cancer,pancreatic cancer,cancer,leukemia,Parkinson's disease,cancer,leukemia,cancer,Alzheimer's disease,cancer,leukemia,cancer,Parkinson's disease,leukemia,lung cancer,cancer,Alzheimer's disease,cancer,lung cancer,Parkinson's disease,cancer,lung cancer,cancer,lung cancer,cancer,cancer,Parkinson’s disease,cancer,pulmonary embolism,myeloma,cancer,cancer,pulmonary embolism,myeloma,cancer,cancer,myeloma,cancer,cancer,cancer,myeloma,myeloma,leukaemia,leukaemia,leukaemia,leukaemia,Parkinson's disease.,pancreatic cancer.,pancreatic cancer.,Parkinson's disease.,False
